M-oM-;M-?"project","access","year","month","day","articles__article","articles__views","articles__rank"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:Search","50863","2"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:RecentChanges","16636","3"^M
"lv.wikipedia","all-access","2018","01","all-days","Nameja_gredzens_(filma)","14238","4"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:CreateAccount","11653","5"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvija","10939","6"^M
"lv.wikipedia","all-access","2018","01","all-days","Mairis_Briedis","10459","7"^M
"lv.wikipedia","all-access","2018","01","all-days","BarikM-DM-^AM-EM->u_laiks","10426","8"^M
"lv.wikipedia","all-access","2018","01","all-days","2018._gada_ziemas_olimpiskM-DM-^As_spM-DM-^Sles","8878","9"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^Sbeles","7538","10"^M
"lv.wikipedia","all-access","2018","01","all-days","RSS_protokols","7527","11"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:Book","6137","12"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:ElectronPdf","6078","13"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:CiteThisPage","5995","14"^M
"lv.wikipedia","all-access","2018","01","all-days","Suleimans_I","5568","15"^M
"lv.wikipedia","all-access","2018","01","all-days","RM-DM-+ga","5206","16"^M
"lv.wikipedia","all-access","2018","01","all-days","SengrieM-DM-7u_mitoloM-DM-#ijas_mM-DM-+tu_un_tM-DM-^Slu_uzskaitM-DM-+jums","5172","17"^M
"lv.wikipedia","all-access","2018","01","all-days","Krievija","4844","18"^M
"lv.wikipedia","all-access","2018","01","all-days","Zvaigznes_diena","4550","19"^M
"lv.wikipedia","all-access","2018","01","all-days","VikipM-DM-^Sdija","4366","20"^M
"lv.wikipedia","all-access","2018","01","all-days","Otrais_pasaules_karM-EM-!","4140","21"^M
"lv.wikipedia","all-access","2018","01","all-days","PalM-DM-+dzM-DM-+ba:Saturs","4086","22"^M
"lv.wikipedia","all-access","2018","01","all-days","Masalas","3923","23"^M
"lv.wikipedia","all-access","2018","01","all-days","Baltijas_pM-DM-^ArkrievoM-EM-!ana","3903","24"^M
"lv.wikipedia","all-access","2018","01","all-days","VM-DM-^Acija","3801","25"^M
"lv.wikipedia","all-access","2018","01","all-days","Latvijas_vM-DM-^Ssture","3668","26"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:WhatLinksHere","3644","27"^M
"lv.wikipedia","all-access","2018","01","all-days","RM-EM-+dolfs_Blaumanis","3527","28"^M
"lv.wikipedia","all-access","2018","01","all-days","Sergejs_EizenM-EM-!teins","3493","29"^M
"lv.wikipedia","all-access","2018","01","all-days","Eiropas_SavienM-DM-+ba","3490","30"^M
"lv.wikipedia","all-access","2018","01","all-days","MM-DM-^AkslinieciskM-DM-^As_izteiksmes_lM-DM-+dzeklis","3487","31"^M
"lv.wikipedia","all-access","2018","01","all-days","Special:Watchlist","3454","32"^M
"lv.wikipedia","all-access","2018","01","all-days","Raimonds_Pauls","3434","33"^M
"lv.wikipedia","all-access","2018","01","all-days","ZiemassvM-DM-^Stki","3425","34"^M
"lv.wikipedia","all-access","2018","01","all-days","Baltijas_jM-EM-+ra","3341","35"^M
"lv.wikipedia","all-access","2018","01","all-days","Francija","3299","36"^M
